Qualtrics Question ID,Include,Wedge,Axis,Set,Question
Q6.1,TRUE,Social,Self,Agreement,I feel I can be myself at work
Q6.2,TRUE,Social,Relationship,Agreement,I have a good relationship with my team
Q6.3,TRUE,Social,Respect,Agreement,"At work, people are always treated with respect"
Q7.1,TRUE,Social,Self,Importance,Feeling that you can be yourself at work
Q7.2,TRUE,Social,Relationship,Importance,Having a good relationship with your team
Q7.3,TRUE,Social,Respect,Importance,"At work, people always being treated with respect"
Q8.1,TRUE,Emotional ,Speak Up,Agreement,I feel it is safe for me to speak up at work
Q8.2,TRUE,Emotional ,Care,Agreement,Someone at work seems to care about me as a person
Q8.3,TRUE,Emotional ,Community,Agreement,I feel a strong sense of community and belonging at work
Q9.1,TRUE,Emotional ,Speak Up,Importance,Feeling it is safe for you to speak up at work
Q9.2,TRUE,Emotional ,Care,Importance,Having someone at work who seems to care about you as a person
Q9.3,TRUE,Emotional ,Community,Importance,Feeling a strong sense of community and belonging at work
Q10.1,TRUE,Professional,Expertise,Agreement,"At work, I have the opportunity to do what I do best every day"
Q10.2,TRUE,Professional,Having a voice,Agreement,I have a say in setting my goals and tasks at work
Q10.3,TRUE,Professional,Opinions,Agreement,I feel my opinions are valued at work
Q11.1,TRUE,Professional,Expertise,Importance,Having the opportunity to do what you do best every day
Q11.2,TRUE,Professional,Having a voice,Importance,Having a say in setting your goals and tasks at work
Q11.3,TRUE,Professional,Opinions,Importance,Feeling that your opinions are valued at work
Q12.1,TRUE,Intellectual,Trust,Agreement,I trust my direct manager
Q12.2,FALSE,Intellectual,Disagreements,Agreement,I feel I can disagree with my direct manager
Q12.3,TRUE,Intellectual,New ideas,Agreement,I am encouraged to try out new ideas and ways of doing things
Q12.4,TRUE,Intellectual,Mistakes,Agreement,I feel comfortable admitting to my mistakes at work
Q13.1,TRUE,Intellectual,Trust,Importance,Trusting your direct manager
Q13.2,FALSE,Intellectual,Disagreements,Importance,Feeling that you can disagree with your direct manager
Q13.3,TRUE,Intellectual,New ideas,Importance,Being encouraged to try out new ideas and ways of doing things
Q13.4,TRUE,Intellectual,Mistakes,Importance,Feeling comfortable admitting to your mistakes at work
Q14.1,FALSE,Purpose,Org Values,Agreement,I believe in what my organization stands for and its values
