ID,Q2,Q3,Q3.17.s,Q4,Q5,Q6.1,Q6.2,Q6.3,Q7.1,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q9.1,Q9.2,Q9.3,Q10.1,Q10.2,Q10.3,Q11.1,Q11.2,Q11.3,Q12.1,Q12.2,Q12.3,Q12.4,Q13.1,Q13.2,Q13.3,Q13.4,Q14.1,Q14.2,Q14.3,Q15.1,Q15.2,Q15.3,Q16.1,Q16.2,Q16.3,Q16.4,Q17.1,Q17.2,Q17.3,Q17.4,Q18.1,Q18.2,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q19.1,Q19.2,Q19.3,Q19.4,Q19.5,Q19.6,Q19.7,Q20.1,Q20.2,Q20.3,Q20.4,Q20.5,Q20.6,Q20.7,Q21.1,Q21.2,Q21.3,Q21.4,Q21.5,Q21.6,Q21.7,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Professional Staff,Full time (5 days) working remotely,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,4,3,4,4,27,25-34,Female,Rented apartment,"$25,000 - $49,999",Single / Never married,White,Full-time work,High school/Tertiary/Tech. College,Illinois,Midwest
2,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Executive Leadership,Full-time (5 days) in the office,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,5,4,5,4,5,4,5,5,5,5,5,5,4,5,4,4,4,5,4,5,5,4,5,5,5,5,4,5,4,4,4,4,5,5,5,4,4,5,5,4,5,4,5,5,5,37,35-44,Male,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Wisconsin,Midwest
3,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Professional Staff,Full time (5 days) working remotely,3,4,5,4,3,5,3,4,2,5,3,3,5,5,4,5,5,5,4,3,4,4,4,3,3,3,3,3,2,3,3,1,4,3,4,2,3,5,5,3,4,1,2,4,3,4,2,4,3,4,4,3,3,4,5,5,5,5,3,5,4,5,4,5,5,3,4,5,37,35-44,Male,Owned house,"$100,000 - $149,999",Domestic partnership / Living with partner,Asian,Full-time work,University/Higher Education,Arizona,West
4,I worked in an office environment all of the time,"Energy (e.g. Gas/Oil, Mining, Utilities, Alternative Energy)",,Manager,Full time (5 days) working remotely,4,4,4,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,3,5,5,5,5,4,5,5,4,3,3,4,3,5,5,4,4,4,4,4,4,5,4,5,5,5,4,5,4,30,25-34,Male,Owned house,"$80,000 - $99,999",Married,White,Full-time work,Postgraduate Education,Oklahoma,South
6,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,Full time (5 days) working remotely,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,2,3,3,2,3,3,3,2,3,4,4,4,4,4,4,4,3,3,3,4,3,2,3,55,55-99,Female,Owned apartment,"$200,000 or more",Married,Asian,Full-time work,Postgraduate Education,New Jersey,Northeast
8,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,Full time (5 days) working remotely,4,5,4,5,5,5,5,5,5,5,5,5,2,2,4,3,3,4,5,5,4,2,5,5,3,4,4,3,4,5,3,2,2,4,4,4,4,5,4,2,4,2,5,2,4,5,4,5,4,3,3,4,3,4,1,1,1,1,4,5,2,5,3,3,5,5,2,3,39,35-44,Female,Living with my parents,#NULL!,Single / Never married,White,Full-time work,Postgraduate Education,New York,Northeast
9,I worked in an office environment most of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Manager,"1 day working remotely, 4 days in the office",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,4,2,5,4,2,4,4,5,2,5,4,2,4,5,5,2,5,5,2,4,5,5,2,4,26,25-34,Female,Owned house,"$15,000 - $24,999",Single / Never married,White,Full-time work,High school/Tertiary/Tech. College,Pennsylvania,Northeast
12,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Professional Staff,Full-time (5 days) in the office,2,4,4,3,4,4,4,2,4,4,4,4,4,4,3,4,5,5,4,4,2,4,4,4,4,4,4,4,2,4,4,1,4,2,4,2,4,5,4,5,4,1,1,4,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,28,25-34,Female,Rented house,"$50,000 - $79,999",Married,Black or African American,Full-time work,University/Higher Education,Texas,South
