ID,QID40,QID39,QID34,QID28_1,QID28_2,QID28_3,QID28_4,QID28_5,QID28_6,QID41_1,QID41_2,QID41_3,QID41_4,QID41_5,QID41_6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
R_7S2ZeKmMl6ynsLH,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,4,4,2,2,3,2,4,2,2,2,4,3
R_732FsLo4xygoYoT,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,5,5,3,3,4,4,3,4,2,5,3,3
R_50iPlRR5xMz8q0v,Central,"Youth Services (Teen Central, Children's Library, Outreach, etc.)",1 to 2 years,5,5,5,5,5,5,4,5,5,4,5,5
R_6loXKz8QcNvR2ZN,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",8 to 10 years,4,5,3,5,3,5,2,4,2,5,3,4
R_3n10Vsak90XsFwL,Central,"Communications, IT, AV",1 to 2 years,5,3,2,5,5,4,4,4,3,3,4,5
R_12PxLN5yMHluC5D,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,4,5,2,3,3,4,4,5,3,4,4,2
R_35Kguw4WIHTgU1T,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",More than 20 years,3,3,3,3,5,4,2,2,3,2,2,2
R_7kOkfew1We5BkdM,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",11 to 20 years,1,5,3,5,3,3,3,3,3,4,3,3
R_79izznrF1nTxkjL,Lower Mills,,3 to 4 years,4,3,3,5,5,5,3,4,2,5,4,5
R_6yauFQTJGFtAsB7,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",1 to 2 years,5,4,3,3,4,4,5,5,3,2,4,3
R_3oLbUMBTYuN0F05,Central,"Central Services (Research Services, Interlibrary Loan, Circulation/Borrower Services/Delivery Desk, Visitor Experience)",Less than 1 year,5,5,5,5,5,5,3,5,3,4,3,4
R_1lB0D5zYJaTEu7D,Central,"Communications, IT, AV",5 to 7 years,1,4,3,3,3,3,2,3,4,4,2,4
R_64pn2Qt7cFR12nD,Central,"Youth Services (Teen Central, Children's Library, Outreach, etc.)",5 to 7 years,5,5,3,5,5,5,4,5,5,5,5,5
R_7Yb5nVw8njCc9TD,Central,"Collections (Collection Development, Reader Services, Research and Special Collections, Digital and Online Services, Cataloging & Processing)",11 to 20 years,4,5,1,2,2,5,2,4,3,3,4,3
R_3Pv9jDI2MFhjdz0,Central,"Communications, IT, AV",3 to 4 years,4,5,3,1,2,2,4,5,3,4,4,4
R_5CP1V2oGLPhKpKY,Central,"Communications, IT, AV",Less than 1 year,4,3,3,4,5,5,3,3,2,3,4,4
R_3NFjy46Xj0tuoYL,Hyde Park,,11 to 20 years,5,4,4,3,5,4,5,4,4,4,4,4
R_36NrIbxH2TrQrbX,Charlestown,,11 to 20 years,5,5,5,5,5,5,3,4,4,4,5,5
