country,co2pp_07,population_07
Albania,1.29,3030000
Armenia,1.74,2930000
Belize,1.59,299000
Bhutan,0.56,665000
Botswana,2.26,1880000
Cape Verde,1.07,475000
Central African Republic,0.0603,4200000
Comoros,0.16,642000
"Congo, Rep.",0.31,3880000
Costa Rica,1.79,4400000
Djibouti,0.574,805000
Dominica,2.59,70800
Eritrea,0.187,3000000
Eswatini,1.03,1040000
Fiji,1.37,836000
Gabon,2.78,1470000
Gambia,0.215,1640000
Georgia,1.53,4170000
Grenada,2.27,105000
Guinea-Bissau,0.16399999999999998,1410000
Guyana,2.09,746000
Jamaica,3.48,2770000
Kiribati,0.608,96500
Latvia,3.93,2200000
Lebanon,2.89,4770000
Lesotho,1.04,1990000
Liberia,0.18100000000000002,3460000
Maldives,2.33,335000
Marshall Islands,2.22,56000
Mauritania,0.512,3200000
Mauritius,2.99,1230000
"Micronesia, Fed. Sts.",1.26,104000
Moldova,1.21,4130000
Montenegro,3.32,620000
Namibia,1.18,2010000
Nauru,4.47,9850
Palestine,0.619,3760000
Panama,2.09,3450000
Samoa,0.9470000000000001,182000
Sao Tome and Principe,0.507,166000
Singapore,4.35,4580000
Solomon Islands,0.365,492000
St. Lucia,2.3,168000
St. Vincent and the Grenadines,2.1,109000
Suriname,3.44,511000
Timor-Leste,0.177,1040000
Tonga,1.11,103000
Tuvalu,1.08,10200
Uruguay,1.79,3330000
Vanuatu,0.451,219000
